buying,maint,doors,persons,lug_boot,safety,class
high,med,3,more,med,med,acc
high,med,4,4,med,med,acc
high,med,4,more,med,med,acc
high,med,5more,4,med,med,acc
high,med,5more,more,med,med,acc
high,low,3,more,med,med,acc
high,low,4,4,med,med,acc
high,low,4,more,med,med,acc
high,low,5more,4,med,med,acc
high,low,5more,more,med,med,acc
low,vhigh,3,more,med,med,acc
low,vhigh,4,4,med,med,acc
low,vhigh,4,more,med,med,acc
low,vhigh,5more,4,med,med,acc
low,vhigh,5more,more,med,med,acc
low,med,3,4,small,med,acc
low,med,3,4,med,med,acc
low,med,3,more,small,med,acc
low,med,4,4,small,med,acc
low,med,4,more,small,med,acc
low,med,5more,4,small,med,acc
low,med,5more,more,small,med,acc
low,low,3,4,small,med,acc
low,low,3,4,med,med,acc
low,low,3,more,small,med,acc
low,low,4,4,small,med,acc
low,low,4,more,small,med,acc
low,low,5more,4,small,med,acc
low,low,5more,more,small,med,acc
low,med,3,more,med,med,good
low,med,4,4,med,med,good
low,med,4,more,med,med,good
low,med,5more,4,med,med,good
low,med,5more,more,med,med,good
low,low,3,more,med,med,good
low,low,4,4,med,med,good
low,low,4,more,med,med,good
low,low,5more,4,med,med,good
low,low,5more,more,med,med,good
med,vhigh,3,more,med,med,acc
med,vhigh,4,4,med,med,acc
med,vhigh,4,more,med,med,acc
med,vhigh,5more,4,med,med,acc
med,vhigh,5more,more,med,med,acc
med,med,3,4,small,med,acc
med,med,3,4,med,med,acc
med,med,3,more,small,med,acc
med,med,3,more,med,med,acc
med,med,4,4,small,med,acc
med,med,4,4,med,med,acc
med,med,4,more,small,med,acc
med,med,4,more,med,med,acc
med,med,5more,4,small,med,acc
med,med,5more,4,med,med,acc
med,med,5more,more,small,med,acc
med,med,5more,more,med,med,acc
med,low,3,4,small,med,acc
med,low,3,4,med,med,acc
med,low,3,more,small,med,acc
med,low,4,4,small,med,acc
med,low,4,more,small,med,acc
med,low,5more,4,small,med,acc
med,low,5more,more,small,med,acc
med,low,3,more,med,med,good
med,low,4,4,med,med,good
med,low,4,more,med,med,good
med,low,5more,4,med,med,good
med,low,5more,more,med,med,good
